コンディションID,テストグループ,対象機能ID,使用技法,テストコンディション,入力値 / 状態,期待結果,優先度,備考
TC-01,ログイン正常系,F-01,同値分割（有効）,有効なID/PWでログインできる,有効ID + 正しいPW + 有効ユーザー,200 ホーム画面遷移,最高,
TC-02,ログイン異常系,F-01,同値分割（無効）,存在しないIDでログインできない,未登録ID + 任意PW,401 AUTH_FAILED,高,
TC-03,ログイン異常系,F-01,同値分割（無効）,無効化ユーザーはログインできない,有効ID + 正しいPW + is_active=false,401 AUTH_FAILED,高,
TC-04,認証失敗・残り回数,F-01 + F-03,同値分割,PW不一致1回目 → 残り4回を表示する,有効ID + 誤PW（1回目）,401 + remainingAttempts: 4,高,
TC-05,認証失敗・残り回数,F-01 + F-03,境界値（ロック閾値-1）,PW不一致4回目 → 残り1回を表示しロックしない,有効ID + 誤PW（4回目）,401 + remainingAttempts: 1,高,
TC-06,アカウントロック,F-03,境界値（ロック閾値ちょうど）,PW不一致5回目 → ACCOUNT_LOCKEDになる,有効ID + 誤PW（5回目）,403 ACCOUNT_LOCKED,最高,
TC-07,アカウントロック,F-03,状態遷移（ロック中）,ロック中は正しいPWでもログインできない,ロック状態 + 正しいPW,403 ACCOUNT_LOCKED,最高,
TC-08,PW期限切れ,F-04,境界値（89日）,89日前のPW → 期限切れではない,password_changed_at = 89日前,200 正常ログイン,中,
TC-09,PW期限切れ,F-04,境界値（90日ちょうど）,90日前のPW → 期限切れと判定される,password_changed_at = 90日前,422 PASSWORD_EXPIRED,高,
TC-10,PW期限切れ,F-04,境界値（91日）,91日前のPW → 期限切れと判定される,password_changed_at = 91日前,422 PASSWORD_EXPIRED,中,
TC-11,バリデーション/ID,F-02,同値分割（無効）,ユーザーID未入力 → 必須エラー,空文字,「ユーザーIDを入力してください」,高,フォーカスアウト不要・送信時
TC-12,バリデーション/ID,F-02,同値分割（無効）,記号含むID → 文字種エラー,user_invalid（アンダースコア含む）,「半角英数字で入力してください」,高,フォーカスアウト時
TC-13,バリデーション/ID,F-02,境界値（最大値）,20文字のID → エラーなし,a×20文字,エラーなし,中,
TC-14,バリデーション/ID,F-02,境界値（最大値+1）,21文字のID → 長さエラー,a×21文字,「1〜20文字で入力してください」,中,
TC-15,バリデーション/PW,F-02,同値分割（無効）,PW未入力 → 必須エラー,空文字,「パスワードを入力してください」,高,
TC-16,バリデーション/PW,F-02,境界値（最小値-1）,7文字PW → 長さエラー,P@ss001（7文字）,「8〜32文字で入力してください」,高,
TC-17,バリデーション/PW,F-02,境界値（最小値）,8文字PW → エラーなし,P@ssw001（8文字）,エラーなし,高,
TC-18,バリデーション/PW,F-02,境界値（最大値）,32文字PW → エラーなし,P@ssword + a×24（32文字）,エラーなし,中,
TC-19,バリデーション/PW,F-02,境界値（最大値+1）,33文字PW → 長さエラー,P@ssword + a×25（33文字）,「8〜32文字で入力してください」,中,
TC-20,PW変更正常系,F-05,同値分割（有効）,新PW=確認PW → 変更成功,一致するPW × 2,"「パスワードを変更しました」→ 2秒後ログイン画面",高,
TC-21,PW変更異常系,F-05,同値分割（無効）,新PW≠確認PW → フィールドエラー,異なるPW × 2,「パスワードが一致しません」,高,
TC-22,PW変更UI,F-05,UI操作性,変更成功後ボタンはdisabledのまま,変更成功直後,#btn-change が disabled,中,
TC-23,ログアウト,F-06,正常系,ログアウト後ログイン画面に戻りフォームがクリアされる,ログイン済み状態でログアウト,"ログイン画面表示、ID/PW欄が空",高,
TC-24,セキュリティ,F-01,セキュリティ,ユーザーIDへのSQLインジェクション → 拒否される,"' OR '1'='1",400 または 401（DB改ざんなし）,最高,
TC-25,セキュリティ,F-01,セキュリティ,パスワードへのSQLインジェクション → 認証失敗,"admin / ' OR '1'='1; --",401 認証失敗,最高,
TC-26,セキュリティ,F-06,セキュリティ,ログアウト後の保護APIアクセス → 401,ログアウト後に GET /api/auth/status,401 UNAUTHORIZED,高,
TC-27,ユーザー追加,F-07,正常系,新規ユーザー追加成功 → 一覧に反映,未使用ID + 有効PW,201 + 一覧に表示,高,
TC-28,ユーザー追加,F-07,同値分割（無効）,ID重複 → エラーメッセージ,既存ID + 任意PW,400 DUPLICATE_USER,高,
TC-29,ロック管理,F-09,状態遷移,手動ロック → ロック中バッジ表示,有効ユーザーを手動ロック,badge-locked 表示,高,
TC-30,ロック管理,F-09,状態遷移,ロック解除 → 有効バッジ表示 + ログイン可能,ロック状態を解除,badge-active 表示,高,
TC-31,有効/無効,F-10,状態遷移,無効化 → badge-inactive 表示,有効ユーザーを無効化,badge-inactive 表示,中,
TC-32,有効/無効,F-10,状態遷移,有効化 → badge-active 表示,無効ユーザーを有効化,badge-active 表示,中,
TC-33,ユーザー削除,F-11,正常系,削除 → 一覧から消える,存在するユーザーを削除,成功メッセージ + 一覧から消える,中,
TC-34,目的機能シナリオ,F-01+F-04+F-05,シナリオ,PF-01: 長期休暇後フロー全体,期限切れユーザーでログイン〜PW変更〜再ログイン,変更後のPWで再ログイン成功,高,
TC-35,目的機能シナリオ,F-03+F-09+F-01,シナリオ,PF-02: ロック→解除→ログインフロー,5回失敗→管理者解除→正常ログイン,解除後にログイン成功し失敗カウントリセット,最高,
TC-36,目的機能シナリオ,F-10+F-01,シナリオ,PF-03: 退職者無効化後ログイン試行,無効化→ログイン試行,認証拒否（401）,高,
