テストケースID,テストグループ,テスト名,前提条件,ステップ1,ステップ1期待結果,ステップ2,ステップ2期待結果,ステップ3,ステップ3期待結果,ステップ4,ステップ4期待結果,ステップ5,ステップ5期待結果,優先度,自動化区分,Pass/Fail,備考
TC-01,TG-01,正常ログイン → ホーム画面遷移,e2enormal ユーザーが登録済み,ログイン画面を開く,#screen-login が表示される,e2enormal / TestP@ss1 を入力してログインボタンをクリック,ログインボタンが活性化するまで待機,—,—,—,—,—,—,最高,E2E自動化済み,,
TC-02,TG-01,正常ログイン後にホーム画面でユーザー名表示,TC-01の続き,（TC-01実行後）,—,#screen-home が表示されることを確認,ホーム画面が表示される,#home-username のテキストを確認,「e2enormal さん」が表示される,—,—,—,—,最高,E2E自動化済み,,
TC-03,TG-01,ログアウト → ログイン画面・フォームクリア,ログイン済みの状態,ログイン画面からログイン済みにする,ホーム画面が表示される,.btn-logout をクリック,—,#screen-login が表示される,—,#user-id の値を確認,空文字である,#password の値を確認,空文字である,高,E2E自動化済み,,
TC-04,TG-02,ユーザーID未入力 → 必須エラー,ログイン画面を開いた状態,ユーザーIDを入力せずログインボタンをクリック,—,#err-userid が表示されることを確認,「ユーザーIDを入力してください」が含まれる,—,—,—,—,—,—,高,E2E自動化済み,,
TC-05,TG-02,パスワード未入力 → 必須エラー,ログイン画面を開いた状態,#user-id に e2enormal を入力,—,ログインボタンをクリック,—,#err-password が表示されることを確認,「パスワードを入力してください」が含まれる,—,—,—,—,高,E2E自動化済み,,
TC-06,TG-02,ユーザーID不正（記号含む） → 文字種エラー,ログイン画面を開いた状態,#user-id に user_invalid を入力,—,フォーカスを外す（blur）,—,#err-userid が表示されることを確認,「半角英数字」が含まれる,—,—,—,—,高,E2E自動化済み,,
TC-07,TG-02,パスワード7文字 → 長さエラー,ログイン画面を開いた状態,#password に P@ss001（7文字）を入力,—,フォーカスを外す（blur）,—,#err-password が表示されることを確認,「8〜32文字」が含まれる,—,—,—,—,高,E2E自動化済み,,
TC-08,TG-02,パスワード8文字（境界値）→ エラーなし,ログイン画面を開いた状態,#password に P@ssw001（8文字）を入力,—,フォーカスを外す（blur）,—,#err-password が表示されないことを確認,エラーが表示されない,—,—,—,—,高,E2E自動化済み,,
TC-09,TG-03,PW不一致1回目 → 残り4回メッセージ,e2enormal が有効状態で登録済み,e2enormal / WrongP@ss9 を入力してログイン,—,#auth-error が表示されることを確認,「あと4回失敗するとロックされます」が含まれる,—,—,—,—,—,—,高,E2E自動化済み,,
TC-10,TG-03,認証エラー表示後に入力開始 → エラー非表示,認証エラーが表示されている状態,#user-id に文字を入力する,—,#auth-error が非表示になることを確認,エラーが消える,—,—,—,—,—,—,中,E2E自動化済み,,
TC-11,TG-04,5回連続失敗 → アカウントロック,e2elock が有効状態で登録済み,e2elock で誤PW 1回目入力,—,e2elock で誤PW 2回目入力,—,e2elock で誤PW 3回目入力,—,e2elock で誤PW 4回目入力,—,e2elock で誤PW 5回目入力,#auth-error に .auth-locked クラスが付与され「ロック」を含む,最高,E2E自動化済み,,
TC-12,TG-04,ロック中に正PW試行 → ロックエラー,TC-11実行後（ロック状態）,e2elock / 正しいPW を入力してログイン,—,#auth-error に .auth-locked クラスが付与されることを確認,「ロック」を含む,—,—,—,—,—,—,最高,E2E自動化済み,,
TC-13,TG-05,PW期限切れ → 変更画面遷移,e2eexpired が forcePasswordChange=true で登録済み,e2eexpired / TestP@ss1 でログイン,—,#screen-pw-change が表示されることを確認,PW変更画面が表示される,.pw-expired-notice が表示されることを確認,期限切れ通知が表示される,—,—,—,—,高,E2E自動化済み,,
TC-14,TG-06,PW変更成功 → 成功メッセージ → ログイン画面遷移,PW変更画面が表示されている状態,#new-password に NewP@ss999 を入力,—,#confirm-password に NewP@ss999 を入力,—,#btn-change をクリック,—,#pw-change-success が表示されることを確認,「パスワードを変更しました」が含まれる,5秒以内に #screen-login が表示される,ログイン画面へ遷移する,高,E2E自動化済み,,
TC-15,TG-06,PW確認不一致 → フィールドエラー,PW変更画面が表示されている状態,#new-password に NewP@ss001 を入力,—,#confirm-password に Different9 を入力（意図的に不一致）,—,#btn-change をクリック,—,#err-confirm-password が表示されることを確認,「パスワードが一致しません」が含まれる,—,—,高,E2E自動化済み,,
TC-16,TG-07,SQLインジェクション（ID） → 拒否,—,POST /api/auth/login に {"userId": "' OR '1'='1", "password": "any"} を送信,—,レスポンスステータスを確認,400 または 401,ユーザー一覧（GET /api/users）を確認,DB改ざんがないこと（通常のユーザー一覧を返す）,—,—,—,—,最高,手動テスト,,
TC-17,TG-07,SQLインジェクション（PW） → 認証失敗,—,POST /api/auth/login に {"userId": "admin", "password": "' OR '1'='1; --"} を送信,—,レスポンスステータスを確認,401 AUTH_FAILED,全ユーザーが認証されていないことを確認,不正ログインがないこと,—,—,—,—,最高,手動テスト,,
TC-18,TG-07,XSS試行 → スクリプト非実行,—,ユーザーID欄に <script>alert('XSS')</script> を入力,—,ログインボタンをクリックまたはフォーカスアウト,—,ブラウザでアラートが出ないことを確認,スクリプトが実行されない,—,—,—,—,最高,手動テスト,,
TC-19,TG-07,ログアウト後の保護APIアクセス → 401,ログイン済みの状態,POST /api/auth/logout でログアウト,—,GET /api/auth/status をリクエスト,—,レスポンスを確認,401 UNAUTHORIZED,—,—,—,—,高,APIテスト済み,,
TC-20,TG-08,ユーザー追加成功 → 一覧に表示,e2enew001 が未存在,管理画面を開く,ユーザー一覧が表示される,#add-userid に e2enew001 を入力,—,#add-password に TestP@ss1 を入力,—,追加ボタンをクリック,—,#add-alert-success が表示されることを確認,「ユーザー「e2enew001」を追加しました」が含まれる,一覧に e2enew001 の行が表示される,高,E2E自動化済み,,
TC-21,TG-08,ユーザーID重複 → エラーメッセージ,e2enew001 が登録済み,管理画面を開く,ユーザー一覧が表示される,同じ e2enew001 で追加操作を実行,—,#add-alert-error が表示されることを確認,エラーメッセージが表示される,—,—,—,—,高,E2E自動化済み,,
TC-22,TG-08,手動ロック → ロック中バッジ,e2elocktest が有効状態で存在,管理画面を開く,e2elocktest の行が表示される,「ロックする」ボタンをクリック,確認ダイアログで「OK」,—,—,#list-alert-success が表示されることを確認,成功メッセージが表示される,e2elocktest 行の .badge-locked を確認,「ロック中」バッジが表示される,高,E2E自動化済み,,
TC-23,TG-08,ロック解除 → 有効バッジ,e2elocktest がロック状態で存在,管理画面を開く,e2elocktest の行が表示される,「ロック解除」ボタンをクリック,—,#list-alert-success が表示されることを確認,成功メッセージが表示される,e2elocktest 行の .badge-active を確認,「有効」バッジが表示される,—,—,高,E2E自動化済み,,
TC-24,TG-08,ユーザー無効化 → 無効バッジ,e2elocktest が有効状態で存在,管理画面を開く,e2elocktest の行が表示される,「無効化」ボタンをクリック,確認ダイアログで「OK」,—,—,e2elocktest 行の .badge-inactive を確認,「無効」バッジが表示される,—,—,中,E2E自動化済み,,
TC-25,TG-08,ユーザー有効化 → 有効バッジ,e2elocktest が無効状態で存在,管理画面を開く,e2elocktest の行が表示される,「有効化」ボタンをクリック,確認ダイアログで「OK」,—,—,e2elocktest 行の .badge-active を確認,「有効」バッジが表示される,—,—,中,E2E自動化済み,,
TC-26,TG-08,ユーザー削除 → 一覧から消える,e2edelete が存在,管理画面を開く,e2edelete の行が表示される,「削除」ボタンをクリック,確認ダイアログで「OK」,—,—,#list-alert-success が表示されることを確認,成功メッセージが表示される,e2edelete の行が存在しないことを確認,一覧から消える,中,E2E自動化済み,,
TC-27,TG-09,PF-01: 長期休暇後フロー（期限切れ→変更→再ログイン）,hanatanaka が期限切れ状態で登録済み,hanatanaka / TestP@ss1 でログイン,PW変更画面が表示される,新PW NewFlower2024! / 確認PW NewFlower2024! を入力して変更,「パスワードを変更しました」表示 → ログイン画面遷移,hanatanaka / NewFlower2024! でログイン,ホーム画面が表示される,—,—,—,—,高,手動テスト,,
TC-28,TG-09,PF-02: ロック→管理者解除→再ログイン,e2elock が有効状態で登録済み,e2elock で誤PW 5回連続入力してロックする,ロックエラーが表示される,管理画面で e2elock のロックを解除する,「ロック解除」成功メッセージ,e2elock / TestP@ss1 で即座にログイン,ホーム画面が表示される,失敗カウントが 0 になっていることを確認（GET /api/users で確認）,失敗カウント = 0,—,—,最高,手動テスト,,
TC-29,TG-09,PF-03: 退職者無効化後ログイン拒否,retired001 が有効状態で登録済み,管理画面で retired001 を無効化,「無効」バッジが表示される,retired001 / 正しいPW でログイン試行,—,認証結果を確認,認証エラーが表示される（ログイン拒否）,API レスポンスを確認,401 AUTH_FAILED,—,—,高,手動テスト,,
