観点ID,観点カテゴリ,観点名,説明,関連ペルソナ,優先度,備考
VP-01,機能性,正常系動作,想定どおりの入力で想定どおりの結果が得られるか,P-01 / P-02,最高,
VP-02,機能性,異常系・エラーハンドリング,不正入力・エラー状態で適切に処理されるか,P-01 / P-02,高,
VP-03,機能性,境界値,最小値・最大値・その前後で正しく動作するか,P-01 / P-02,高,パスワード8/32文字・ユーザーID20文字・失敗5回・期限90日
VP-04,機能性,状態遷移,ユーザー状態（有効/ロック/無効/期限切れ）の遷移が正しいか,P-01 / P-02,高,
VP-05,セキュリティ,入力検証（インジェクション対策）,"SQLインジェクション・XSS・制御文字への耐性",P-02,最高,
VP-06,セキュリティ,認証強度,"ブルートフォース対策（5回ロック）・パスワードbcryptハッシュ",P-02,最高,
VP-07,セキュリティ,セッション管理,"ログアウト後セッション無効・セッション固定攻撃・CSRF",P-01 / P-02,高,
VP-08,ユーザビリティ,エラーメッセージ,"わかりやすさ・表示タイミング・ユーザーへのガイダンス",P-01,中,
VP-09,ユーザビリティ,UI操作性,"ボタン状態・フォームクリア・画面遷移タイミング",P-01,中,
VP-10,信頼性,データ整合性,操作後にDBデータが正しく更新されているか,P-02,高,
VP-11,信頼性,リカバリ,ロック解除後・PW変更後の正常動作確認,P-01 / P-02,高,
